,LATITUD,LONGITUD
0,19.6835237,-101.3061152
1,19.5108868,-101.3397544
2,19.7003589898114,-101.192019941786
3,19.4274965,-102.0683667
4,19.649947,-101.2378569
6,19.6953328381971,-101.16565889626
10,19.6436406352848,-101.152086988437
11,19.710964,-101.1814751
12,19.710964,-101.1814751
17,19.6508403433574,-101.19614823028
18,20.6438034,-103.3010981
19,19.6331373,-102.0554508
20,19.7074741,-101.1772298
21,19.7114255,-101.2104107
22,19.6837461,-101.1881257
23,19.6837461,-101.1881257
24,19.6745152,-101.3144791
25,19.6774631,-101.254686
26,19.7076675,-101.1576587
27,19.6812091,-101.1782114
28,19.7019897651136,-101.204592840666
29,19.69473,-101.1625045
30,19.6845563,-101.2138594
31,0.0,0.0
32,19.6974520393671,-101.158187243425
33,19.6974520393671,-101.158187243425
34,19.4510848,-99.20512
35,20.0902994945456,-101.513141179509
36,19.7040551,-101.2232675
37,19.6932704,-101.1789977
38,19.6933534,-101.1789764
39,21.0632534,-100.4739027
40,19.7359009,-101.1798661
41,19.7073651,-101.2155247
42,19.7275463,-101.1143276
43,19.6846646,-101.1655896
44,19.6570784,-101.1946502
45,19.6862651,-101.1905838
46,19.6962348,-101.1625873
47,19.6962348,-101.1625873
50,19.7078519,-101.2605592
51,19.8155721,-101.7991228
52,19.7194653,-101.1457637
53,19.7001216,-101.2400128
54,19.6953462,-101.1881114
55,19.4239363,-102.0068837
56,19.4238619,-102.0068984
57,19.6836015,-101.3060931
58,19.6919556,-101.1179717
59,18.0201901,-102.212399
